Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
SD0035X70WH	1.00	26.99	6/19/15	Beach Towel - White	White		14.36	Product	I-51669	P-2006	26.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-DM-XL	1.00	17.00	6/19/15	Hanes Beefy S/S, DM, XL	DM		3.22	T-Shirt	I-51670	P-3426	17.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-HL-M	1.00	17.00	6/19/15	Hanes Beefy S/S, HL, M	Heather		3.43	T-Shirt	I-51670	P-3209	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD035PRPP	1.00	1.50	6/19/15	Sticker - Parking Permit	Parking Permit		0.22	Product	I-51670	P-2282	1.50	3 x 4 inch	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-LI-L	1.00	17.00	6/19/15	Hanes Beefy S/S, LI, L	Lime		3.29	T-Shirt	I-51671	P-3237	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-6A-S	1.00	17.00	6/19/15	Hanes Beefy S/S, 6A, S	Wow Pink		3.19	T-Shirt	I-51671	P-3183	17.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-AB-M	1.00	17.00	6/19/15	Hanes Beefy S/S, AB, M	Aquatic Blue		3.28	T-Shirt	I-51671	P-3205	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-FT-2X	1.00	17.00	6/19/15	Hanes Beefy S/S, FT, 2X	FT		5.51	T-Shirt	I-51671	P-3429	17.00	2X	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0TAFFYASBG	1.00	6.99	6/19/15	Taffy - Assorted - 12 oz	Assorted		1.85	Product	I-51672	P-2101	6.99	12 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-RE-M	1.00	12.00	6/19/15	Patriot Dog S/S, RE, M	Red		3.38	T-Shirt	I-51672	P-3406	12.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180RD-WH-M	1.00	15.00	6/19/15	Retro Dog S/S, WH, M	White		2.35	T-Shirt	I-51672	P-3291	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180RD-WH-M	1.00	15.00	6/19/15	Retro Dog S/S, WH, M	White		2.35	T-Shirt	I-51673	P-3291	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD003001-TE-L	1.00	15.00	6/19/15	Simple Dog S/S, TE, L	TE		2.89	T-Shirt	I-51673	P-7304	15.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
729173901135	1.00	3.99	6/19/15	Magnet - my Dog			1.25	Pet	I-51674	P-1784	3.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD004200-BTD-L	1.00	5.00	6/19/15	Bandana - Blue Tie-Dye	Blue Tie Dye		1.03	Specialty Items	I-51674	P-2475	5.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-LG-L	1.00	19.00	6/19/15	Comfort Soft S/S, LG, L	Light Green		4.21	T-Shirt	I-51675	P-3158	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
